,Low,Medium,High,Total
structural_damage,8.494013018697407,0.027544785808662695,7.108305290503781,15.629863095009851
facade_openings,3.3260685568192256,11.877325814990867,0.0,15.203394371810091
wall_connections,1.1212516976973033,0.3675229018407154,11.918638059738155,13.407412659276174
ring_beam,7.194030268663583,0.0,2.91192508920259,10.105955357866172
construction_period,6.342580066276571,1.9929847934916367,1.7086831289387743,10.044247988706983
structural_system,4.055503940620468,0.8852806744908749,4.8791802869593175,9.819964902070659
plan_shape,0.6181888944440477,0.5502464675806112,8.140432193484324,9.308867555508982
construction_quality,3.955742060558455,1.0169364019070462,0.34008026485898674,5.312758727324487
roof_covering,1.1828513210088483,1.4503604897216598,1.0787687072644434,3.7119805179949514
stories,0.0,3.4882752412556415,0.0,3.4882752412556415
roof_condition,0.0,2.012800321927756,0.26385661078009887,2.276656932707855
roof_anchorage,0.0,0.923094500387267,0.7675281500808929,1.69062265046816
