,Low,Medium,High,Total
flood_barrier,4.257250236621131,3.7294679796322767,20.788752250040694,28.775470466294102
stories,12.637115962012702,7.16495830659191,5.829852184143439,25.631926452748054
facade_openings,9.407837089005842,2.5067013135930623,6.8919422775709505,18.806480680169855
construction_quality,3.907689253675927,4.5277910314186585,2.703956800024989,11.139437085119575
structural_system,4.044550211867034,4.046852375051318,0.3807170261477714,8.472119613066123
construction_period,1.934482068067655,1.1575376478596962,0.8005643482718955,3.8925840641992466
structural_damage,1.5669609934721236,1.4763270266839945,0.23869361824692287,3.281981638403041
