,Low,Medium,High,Total
facade_openings,12.55638911494027,12.455049624574599,0.24391887544206844,25.25535761495694
structural_system,1.7029810499272127,7.718545768459233,15.314022681097528,24.735549499483973
structural_damage,0.6821620340835375,4.023340419965176,7.14996116519227,11.855463619240982
slope_retention,6.660713065673049,0.9718306937137914,1.7456190061163002,9.37816276550314
stories,2.1388737591334848,0.7264347648690433,3.0807080916699627,5.946016615672491
construction_period,1.2367189499965718,3.6736342286501076,0.2720247706816185,5.1823779493282975
roof_covering,0.003348791757758564,1.9304348509520366,3.0467505456202777,4.980534188330073
roof_anchorage,0.05880377114714346,1.903452470276702,2.8411677001760047,4.80342394159985
construction_quality,1.0576832810878922,1.308502560739677,1.6035459449127174,3.9697317867402866
ring_beam,1.1419390986461027,0.755407678432952,0.7339632950263847,2.6313100721054394
retention_maintenance,0.7044030422979464,0.19995841156040983,0.06433987391756811,0.9687013277759243
wall_connections,0.17612684074477603,0.10913526659594518,0.00810851192187022,0.29337061926259145
